ORF	NAME	TCA	Resp	Ribo	Proteas	Hist	HTH	alpha 0	alpha 7	alpha 14	alpha 21	alpha 28	alpha 35	alpha 42	alpha 49	alpha 56	alpha 63	alpha 70	alpha 77	alpha 84	alpha 91	alpha 98	alpha 105	alpha 112	alpha 119	Elu 0	Elu 30	Elu 60	Elu 90	Elu 120	Elu 150	Elu 180	Elu 210	Elu 240	Elu 270	Elu 300	Elu 330	Elu 360	Elu 390	cdc15 10	cdc15 30	cdc15 50	cdc15 70	cdc15 90	cdc15 110	cdc15 130	cdc15 150	cdc15 170	cdc15 190	cdc15 210	cdc15 230	cdc15 250	cdc15 270	cdc15 290	spo 0	spo 2	spo 5	spo 7	spo 9	spo 11	spo5 2	spo5 7	spo5 11	spo- early	spo- mid	heat 0	heat 10	heat 20	heat 40	heat 80	heat 160	dtt 15	dtt 30	dtt 60	dtt 120	cold 0	cold 20	cold 40	cold 160	diau a	diau b	diau c	diau d	diau e	diau f	diau g
YCR003W	"MRPL32 PROTEIN SYNTHESIS        RIBOSOMAL PROTEIN, MITOCHONDRIAL L32"	-1	-1	-1	-1	-1	-1	0.01	0.04		0.01	-0.18	0.29	0.18	0.18	-0.06	0.04	-0.34	-0.18	0.03	-0.36	-0.01	-0.34	0.23	-0.15	0.24	-0.51	-0.32	-0.47	-0.06	0.04	-0.12	0.1	-0.36	-0.17	0.26		-0.04	-0.36	0.28	0.03	0.12	0.12	0.11	0.24	0.75	0.23	0.57	0.53	0.69	-0.42	1.11	0.72	1.04	-0.27	-0.58	-0.69	0.54	0.1	-0.43	-0.23	0.48	-0.69	-0.76	-0.67	-0.17	-0.64	-0.38	-0.51	-0.94	-0.76	-0.47	0.44	-0.56	-0.47	-0.81	0.06	-0.14	-0.22	-0.43	-0.54	0.04	-0.18	-0.2	0.69	-0.2
YCR005C	CIT2   GLYOXYLATE CYCLE         PEROXISOMAL CITRATE SYNTHASE	-1	-1	-1	-1	-1	-1	0.34	1.46	1.23	1.23	1.06	0.5	0.64	0.54	0.49	0.52	0.01	0.2		0.03	-0.09	-0.18	0.08	-0.04	-0.01	-0.22	-0.81	-0.51	-0.56	-0.34	0.11	0.72	0.91	0.52	0.38	0.69	0.6	-0.03	-1.79	-1.94	-0.25	1.17	1.41	0.45	0.43	0.62	-0.17	1.06	0.04	-1.74	0.81	0.98	0.88	-0.07	1.82	1.7	1.55	0.75	1.2	0.3	-0.49	-1.03	1.17	-4.06	0.54	1.87	1.84	0.39	-0.22	0.01	-0.09	0.58	0.55	0.38	-0.09	0.84	1.87	1.01	-0.49	-0.14	0.1	-0.38	-0.84	1.06	2.28
YCR008W	SAT4   SALT TOLERANCE           PROTEIN KINASE	-1	-1	-1	-1	-1	-1	0.12	-0.23		-0.12	-0.07	0.1	0.29	0.38	0.1	-0.06	-0.17	-0.06	-0.03	0.12	-0.01		0.2	0.03	0.89	-0.47	-0.29	0.42	0.29	0.24	0.21	0.12	-0.42	0.33	0.18	-0.12	-0.4	-0.15	0.07	-0.18	-0.04		0.12	-0.22	-0.25	-0.4	-0.06	-0.2	-0.14	-0.81	-0.6	-0.4	-0.67	-0.06	-0.54	-2	-0.76	-0.42	-0.4	-0.3	-0.81	-0.29	-0.22	-0.3	0.14	0.79	0.68	0.12	0.56	0.72	-0.71	-0.81	-0.17	-0.42	0.42	0.1	0.69	0.95	0.21	0.34	0.3	-0.07	-0.12	0.07	-0.22
YCR009C	RVS161 CYTOSKELETON             ACTIN-BINDING PROTEIN	-1	-1	-1	-1	-1	-1	1.72	1.2	1.12	0.26	0.08	-0.23	-0.03	-0.17	-0.18	0.24	-0.27	0.56	-0.09	-0.69	-0.03	0.07	0.31	0.77	1.14	-0.32	-0.23	-0.34	0.01	-0.07	-0.81	-0.04	-0.14	-0.22	-0.07	-0.09	0.07	-0.15	0.28	0.08	-0.64	0.15	-0.81	-1.03	-0.97	0.86	0.03	-1.74	-1.03	-0.6	-1.56	-0.89	-2	-0.3	-0.25	-0.42	-0.17	-0.27	-0.32	0.38	-0.12	-0.22	-0.09		-0.22	0.37	0.14	-0.84	-0.54	-0.01	0.4	0.53	0.04	0.49	-0.17	0.18	0.08	-0.25	-0.06	-0.2	-0.14	-0.27	-0.2	-0.58	-0.67
YCR011C	ADP1   TRANSPORT                (PUTATIVE) ATP-DEPENDENT PERMEASE	-1	-1	-1	-1	-1	-1	-0.58	-0.51	0.03	-0.14	0.04	-0.09	0.11	-0.03	-0.09	0.07	-0.07	0.06	-0.42	-0.62	-0.23	-0.23	-0.04	-0.22	-0.25	-0.04	-0.22	-0.27	-0.42	-0.45	-0.38	0.1	0.29	0.11	-0.18	0.34	0.25	0.3	-1.03	-1.15	-0.97	-0.07	-0.04	-0.03	-0.07	-0.34	-0.17	0.07	0.03	-1.6	0.01	-0.27	-0.17	0.04		-0.01	-0.49	-0.62	-0.34	0.86	-1.06	-1.06	0.96	0.6	0.12	1.74	1.12	0.75	0.76	0.89	-0.23	-0.71	0.42	0.34	-0.34	-0.43	-0.12	-0.47	0.01	0.28	0.18	0.43	0.41	0.73	0.58
YCR012W	PGK1   GLYCOLYSIS               PHOSPHOGLYCERATE KINASE	-1	-1	-1	-1	-1	-1	0.82	0.29	0.62	0.42	0.41	0.19	0.65	0.45	0.59	0.3	0.28	-0.03	0.34	0.32	0.29	0.28	0.08	0.06	0.78	0.73	0.69	0.91	0.42	0.01	-0.34	-0.01	0.23	0.52	-0.14	0.61	0.76	0.6	-1.18	-2	-2	-0.74	-0.23	-0.09	0.01	-0.03	-0.18	0.07	0.37	-0.36	-0.32	0.1	-0.09	0.07	-1.64	-2.94	-3.64	-3.47	-2.64	1.52	-1.32	0.29	-2.74	-5.64	0.45	1.16	0.91	0.07	0.51	-0.14	0.43	-0.49	0.76	0.21	0.6	-0.3	-0.29	-0.69	0.1	0.18	0.76	0.62	0.48	0.12	-0.51
YCR014C	POL4   DNA REPAIR               DNA POLYMERASE IV 	-1	-1	-1	-1	-1	-1	-0.42	-0.2	-0.3	-0.25	-0.62	-0.09	-0.43	0.04	-0.17	-0.22	-0.15	0.03	-0.2	-0.25	-0.79	0.19	-0.14	0.16	0.38	0.06	0.14	0.03	0.07	-0.14	-0.03	-0.45	-0.6	-0.69	-0.15	-0.51	-0.54	-0.17	-0.29	-0.43	-0.47	-0.18	-0.64	-0.56	-0.58	-0.3	-0.07	-1.25	-0.49	-0.3	-0.49	-0.49	-0.56	-0.07	0.86	0.99	1.06	1.32	1.24	0.14	0.08	0.04	0.85	1.24	0.36	-0.97	0.08	-0.67	-0.42	0.48	-0.54	-0.58	-0.25	-0.15	0.14	0.52	0.01	0.43	-0.06	0.23	0.41	-0.04	-0.6	0.4	0.38
YCR018C	SRD1   RRNA PROCESSING          NUCLEOLAR PROTEIN 	-1	-1	-1	-1	-1	-1	0.03	0.25	0.25	0.19	-0.14	0.08	-0.09	-0.17	0.21	-0.2	0.53	0.18	0.1	-0.2	0.03	0.31	-0.07	0.24		0.14	-0.25	-0.03	-0.27		0.18	0.1	0.37	0.21	-0.22	0.04	0.53	0.11	-0.32	-0.09	-0.27	-1.84	-0.94	-0.27	0.03	0.23	0.11	-0.94	-0.12	0.56	0.33	-0.23	-0.27	0.01	-0.01	-0.06	-0.01		-0.03	-0.01	0.06	-0.04	-0.07	-0.03	0.23	0.9	0.39	0.42	0.31	-0.76	-0.49	-0.14	-0.64	-0.4	-0.12	0.24	0.57	-0.04	-0.01	0.21	0.06	-0.2	-0.29	-0.38	-0.15
YCR019W	MAK32  DSRNA VIRUS PROPAGATION  UNKNOWN	-1	-1	-1	-1	-1	-1	-0.15	0.03	-0.03	-0.36	0.32	-0.4	-0.4	-0.03	0.03	0.11	0.31	-0.14	-0.09	-0.29	-0.67	0.2	-0.17	-0.12	0.5	0.44	-0.23	0.31	-0.12	0.08	-0.03	-0.34	-0.36	-0.4	-0.03	-0.54	-0.38	-0.03	0.07	-0.06	0.1	-0.18	-0.29	-0.25	-0.07	0.25	-0.38	-0.34	-0.34	-0.49	0.03	-0.27	-0.2	-0.1	0.11	0.07	0.11	-0.23	-0.62	-0.32	-0.38	-1.15	0.18	1.24	-0.04	-0.2	0.21	-0.25	-0.58	0.56	-0.25	0.26	-0.1	-0.4	-0.38	0.25	-0.06	-0.14	-0.92	-0.45	0.37	-0.3	-0.92	0.55	
YCR020C	PET18  MITOCHONDRIAL DNA MAINTE UNKNOWN	-1	-1	-1	-1	-1	-1	-0.15	0.44	0.23	0.33		0.29	-0.07	0.43	0.23	-0.09	0.37	0.15	0.15	0.06	-0.03	0.21	0.21	0.2	0.32		0.99		0.04	0.1	0.21	0.04	-0.12	0.06	0.12	0.07	-0.69	0.07	-0.03	0.03	0.16	-0.09	-0.49	0.32	0.1	0.28		0.12	0.5	0.52	-0.04	0.07	0.29	0.08	0.23		-0.25	-0.38	-0.29	0.4	-0.49	-0.6	0.12	0.14	-0.4	-0.51	-0.29	-0.45	-0.38	0.1		-0.29	-0.3	-0.18	-0.12	0.44	-0.42	-0.25	0.1	-0.07	0.52	0.11	-0.09	0.52	0.28
YCR021C	HSP30  DIAUXIC SHIFT            PLASMA MEMBRANE HEAT SHOCK PROTEIN	-1	-1	-1	-1	-1	-1	-0.1	0.75	-0.1	-0.32	-0.01	0.01	-0.29	0.14	0.16	-0.3	-0.12	-0.1	-0.07	-0.3	-0.27		-0.23	-0.06	3.73	-0.86	-0.2	-1.69	-2.74	-2.64	-2.47	-2	-1.47	-1.6	-1.29	-0.86	-1.36	-1.69		0.03	-0.09	-0.51	-0.51	0.16	0.15	-0.45	-0.23	-0.29		0.21	0.12	-0.15	0.1		-1.43	-1.47	-2	-1.84	-1.4	-0.38	-0.27	-0.12	-0.38	0.07	1.57	1.54	-0.34	-1.4	-1.29	-0.3	-0.58	-0.6	-0.94	-0.79	1.08	0.42	-0.3	-1.56	-0.79	0.01	1.88	1.56	0.86	3.65	3.29
YCR024C	NONE   PROTEIN SYNTHESIS        MITOCHONDRIAL ASPARAGINYL-TRNA SYNTHETASE	-1	-1	-1	-1	-1	-1	0.08	0.33	0.01	-0.1	-0.1	0.03	0.1	-0.06	-0.03	0.07	-0.45	-0.09	-0.23	-0.45	-0.17	-0.04	-0.1	0.03	-0.43	-0.69	-0.58	-0.51	-0.32	-0.54	-0.47	-0.18	0.03	0.03	-0.03	-0.15	-0.32	-0.04	0.46	-0.36	-0.62	0.4	0.39	0.74	0.52	0.23	0.4	0.7	0.99	-0.69	1.04	0.75	0.69	0.04		-0.43	-0.07	-0.27	-0.51	-0.06	-0.42	-0.97	0.21	0.97		0.28	0.08	0.08	0.42	-0.18	-0.6	-0.18	-0.18	0.31	-0.29	0.2	-0.34	-0.56	-0.71	-0.38	-0.27	-0.42	-0.69	0.46	0.11
YCR028C	RIM1   MITOCHONDRIAL DNA MAINTE SSDNA BINDING PROTEIN	-1	-1	-1	-1	-1	-1	-0.12	-0.47	0.15	-0.29	0.15	-0.14	0.29	0.34	0.11	-0.03	-0.14	0.36	-0.12	-0.45	-0.01	0.28	0.3	0.15	-0.36	-0.23	-0.17	-0.18	0.26	-0.07	0.29	0.04	-0.06	0.12	-0.12	-0.42	-0.51	-0.27	-0.36	-0.17	-0.4	1.04	-0.79	-0.12	0.18	0.44	-0.1	-0.76	-0.42	0.58	-0.4	-0.27	-0.62	-0.2	-0.2	-0.14	-0.1	0.03	-0.23	-0.07	-0.04	0.11	-0.04	-0.01	-0.38	-0.56	-0.03	0.11	0.26	0.7	-0.2	-0.92	-0.51	-0.04	0.56	0.04	0.03	0.88	-0.04	0.04		-0.1	-0.29	-0.32	-0.4
YCR031C	RPS14A PROTEIN SYNTHESIS        RIBOSOMAL PROTEIN S14A	-1	-1	1	-1	-1	-1	0.03	-0.07	-0.4	-0.09	-0.14	-0.17	0.15	0.12	-0.1	-0.25	-0.2	-0.2	0.18	-0.18	0.11	-0.27	0.24	-0.17	-0.42	0.03	0.38	0.29	0.67	0.66	0.59	0.32	0.21	0.36	0.25	-0.18	-0.04	-0.09	-0.62	-0.56	-0.34	-0.25	0.12	0.26	0.11	-0.06	-0.27	-0.43	0.11	-0.62	-0.6	-0.56	-0.36	-0.27	-1.12	-1.74	-1.84	-1.15	-0.71	0.19	-1.36	0.51	-2.47	-2.47	0.1	-0.62	-1.22	-1	-0.42	-0.27	0.06	-0.45	-0.58	-1.15	0.24	0.14	-0.86	-0.86	0.2	0.15	0.19	-0.23	-0.03	-0.89	-1.79
YCR032W	BPH1   TRANSPORT                UNKNOWN	-1	-1	-1	-1	-1	-1	0.67	-0.22	0.21	0.12	0.45	0.48	0.18	0.15	0.03	0.23	0.24	-0.32	0.06	-0.18	0.26	0.43	0.29	0.69	-0.09	-0.2	-0.14	-0.64	-0.32	-0.62	-0.6	-0.1	0.21	-0.01	-0.49	0.07	0.19	-0.3	-0.01	0.29	-0.29	-0.36	-0.81	-0.79	0.07	0.23	-0.03	-0.58	-0.09	-0.54	-0.81	0.54	-0.22		-0.23	0.25	0.4	0.59	0.42	-0.38	0.11	-0.09	-0.12	-0.03	-0.12		-0.45	-0.56	-0.09	0.01	-0.12	-0.42	-0.34	-0.22	-0.06	-0.67	-0.1	-0.71	0.14	0.1	0.08	-0.15	-0.22	-0.58	-0.76
YCR034W	"FEN1   CELL WALL BIOGENESIS     BETA-1,3-GLUCAN SYNTHASE SUBUNIT"	-1	-1	-1	-1	-1	-1	-0.67	-0.64	-0.56	-0.17	0.1	0.34	0.11	0.06	0.12	0.1	0.19	-0.12	0.2	0.08	0.19	0.2	0.11		-1.74	-0.23	-0.18	-0.17	0.3	0.72	0.89	0.76	0.19	0.39	0.44	0.06	-0.34	0.06	-0.07		0.23	0.56	0.57	0.23	0.06	0.38	0.06	0.06	0.07	-0.97	-0.54	-0.76	-0.64	0.23	-0.2	-0.51	1.16	1.55	1.69	-0.49	1.3	1.26	0.14	-0.43	-0.01	-1.18	-1.06	-0.84	-0.22	0.49	0.33	-1.15	-0.38	-0.54	-0.23	-0.42	-1.32	-0.54	0.12	0.15	0.9	0.01	-0.43	-0.89	-1.64
YCR035C	RRP43  RRNA PROCESSING          EXORIBONUCLEASE	-1	-1	-1	-1	-1	-1	0.01	-0.74	-0.79	-0.3	-0.32	-0.25	0.03		-0.25	-0.38	-0.51	-0.43	-0.12	-0.32	-0.2	-0.4	-0.09	-0.18	0.51	-0.3	-0.29	-0.04	-0.04	-0.22	-0.32	-0.62	-0.45	-0.15	-0.3	-0.62	-0.64	-0.47	0.58	0.34	0.18	-0.34	-0.43	-0.18	-0.03	-0.2	-0.2	0.04	0.36	-0.62	-0.27	-0.36	-0.22	-0.06	-0.17	0.12	1.05	1.33	1.15	-0.58	0.84	0.74	-0.32		-0.47	-1.09	-0.64	-0.79	-0.36	-0.69	0.25	0.21	-0.3	-0.25	-0.34	0.01	-0.27	-0.15	0.08	-0.04	0.52	-0.2	-0.64	-0.29	-0.71
YCR036W	RBK1   RIBOSE METABOLISM        RIBOKINASE	-1	-1	-1	-1	-1	-1	0.24	0.31	0.21	0.04	-0.36	0.28	-0.03	0.23	-0.04	0.18	-0.1	0.31	-0.29	-0.27	-0.22	0.18	0.21	0.25	0.16	0.54	0.29	0.03		0.11	0.11	0.12	0.01	-0.03	0.2	-0.03	0.07	0.12		-0.14	0.41	0.31	0.28	0.01	0.04	0.25	0.16	0.1	0.2		0.43	0.37	0.58	0.14	0.16	-0.43	-0.54	-0.64	-0.92	0.06	-0.56	-0.81	0.18	0.86	-0.38	0.24	0.16	-0.03	0.01	0.34	0.39	0.34	0.42	0.57	-0.42	-0.12	-0.56	0.06	-0.38	-0.01	0.6	0.16	-0.43	0.87	0.44
YCR037C	PHO87  TRANSPORT                INORGANIC PHOSPHATE PERMEASE	-1	-1	-1	-1	-1	-1	-0.4	0.24	-0.22	-0.36	-0.49	0.04	-0.14	-0.01	0.12	-0.2	-0.12	-0.18	-0.22	-0.09	0.11	0.41	-0.09	-0.04	-0.29	-0.34	-0.29	-0.2	-0.42	-0.23	0.1	0.11	0.06	0.55	0.08	0.33	0.24	0.19	0.03	-0.34	-0.32	0.01	-0.42		-0.22	-0.6	-0.56	-0.1	0.16	-0.32	-0.51	-0.69	-0.74	-0.03	-0.18	0.08	-0.45	-0.22	-0.1	-0.45	-1	-0.51	0.2	0.01	0.16	-0.25	-0.14	0.24	0.38	0.04	-1.09	-0.64		-0.69	0.08	0.38	0.8	0.52	0.19		-0.06	-0.42	-0.64	-0.36	-0.01
YCR038C	BUD5   BUD SITE SELECTION       GDP/GTP EXCHANGE FACTOR FOR RSR1P/BUD1P	-1	-1	-1	-1	-1	-1	-0.4	0.1	-0.17	-0.42	-0.76	-0.25	-0.43	0.07	-0.07	0.03	-0.09		-0.15	-0.36	-0.45	0.21	0.14	-0.15	0.07	0.14	0.07	-0.2	-0.25	-0.51	-0.2	-0.15	-0.07	-0.38	-0.18	-0.18	-0.12	0.1	-0.76	-0.3	-0.34	-0.04	0.12	-0.06	-0.18	-0.06	-0.15	-0.2	-0.3	0.31	-0.12	-0.23	-0.12	0.1	0.07	-0.12	0.7	0.53	0.49	-0.69	0.04	0.07	0.76	1.28	0.56	0.37	0.03	0.1	0.48	0.15	-0.49	-0.58	-0.36	-0.51	-0.1	0.07		-0.6	-0.42	0.25	-0.09	-0.45	-0.38	0.36	0.32
YCR039C	ALPHA2 TRANSCRIPTION            A-SPECIFIC GENE REPRESSOR	-1	-1	-1	-1	-1	1	0.04	0.1	-0.4	-0.18	-0.79	0.18	-0.4	0.21	0.16	-0.45	-0.29	-0.22	-0.2	-0.45	-0.3	0.23		0.04	0.99	0.14	0.37	0.34	0.03	-0.22	-0.12	-0.25	-0.43	-0.49	0.14	-0.49	-0.27	-0.34	0.04	-0.29	-0.29	-0.56	-0.62	0.23	0.15	-0.36	-0.42	-0.18	0.7	0.79	1.38	1.24	1.82	0.25	0.15	0.2		0.14	0.11	0.1	0.06	-0.23	0.1	0.56	-0.54	-0.3	-0.62	-0.81	-0.36	-0.1	-0.14	1.22	-0.25	-0.06	-0.45	0.33	0.44	0.29	0.16	0.66	0.38	0.25	0.15	1.49	1.21
YCR040W	ALPHA1 TRANSCRIPTION            ALPHA-SPECIFIC GENE ACTIVATOR	-1	-1	-1	-1	-1	1	-0.29	0.31	-0.2	-0.04	-0.38	0.11	-0.2	-0.4	-0.12	0.42	-0.29	0.18	-0.04	-0.29	-0.67	0.23	-0.01	0.16	-0.15	-0.22	0.1	0.1	-0.17	-0.36	0.08	-0.42	-0.15	-0.58	-0.29	-0.54	-0.51	-0.23	-0.17	-0.56	-1.15	-0.32	0.39	0.7	0.25	-0.3	-0.69	-0.32	0.4	0.31	0.62	0.34	0.36	-0.1	-0.51	-0.42	0.11	0.28	0.31	-0.74	0.95	-0.58	0.84	1.7	-0.34	-0.47	-0.15	-0.23	-0.32	-0.14	-0.07	-0.71	-0.4	-0.3	-0.54	-0.09	0.04	-0.06	-0.69	0.66	-0.22	-0.62	-0.74	0.2	0.04
YCR042C	TSM1   TRANSCRIPTION            TFIID ASSOCIATED FACTOR (TAF)	-1	-1	-1	-1	-1	-1	-0.18	0.03	0.03	-0.29	-1.03	-0.42	-0.76	0.12	0.43	0.77	0.82	0.24	-0.32	-0.45	-0.62	0.37	-0.03	0.2	0.07	0.3	-0.12	0.16	0.01	-0.04	-0.1	0.3	0.03	0.01			0.1	0.28	-0.09	0.03	-0.58	-0.94	0.15	0.57	0.16	-0.22	-0.15	-2.25	-0.14	0.24	0.12	-0.1	-0.23	0.01	0.29	0.1	-0.22	-0.18	-0.36	-0.12	-0.25	-0.1	0.19	0.46	0.29	0.11	0.34	0.41	0.12	-0.86	-0.43	-0.51	-0.34	-0.32	-0.2	-0.04	0.46	-0.34	0.07	0.48		-0.18	-0.2	0.26	0.04
YCR046C	"IMG1   PROTEIN SYNTHESIS        RIBOSOMAL PROTEIN, MITOCHONDRIAL"	-1	-1	-1	-1	-1	-1	-0.25	-0.36	-0.15	-0.22	-0.07	-0.27	0.1	-0.42	-0.14	-0.07	-0.43	-0.22	-0.17	-0.34	-0.27	-0.4	-0.47	-0.32	-0.42	-0.51	-0.1	-0.1	0.12	-0.04	0.11	0.62	0.44	0.48	0.46	0.48	0.48	0.44	0.48	-0.04	0.01	0.07	0.11	0.48	0.77	0.71	0.54	0.69	0.82	-0.67	1.01	0.89	0.79	-0.09	-0.6	-0.36	0.56	0.15	-0.18	-0.14	-0.03	0.26	-1.36	-0.97	0.2	-0.06	-0.25	0.56	0.33	-0.01	-0.27	-0.27	0.03	-0.14	-0.09	0.23	0.03	-0.01	-0.38	-0.42	-0.23	-0.42	-0.23	0.81	-0.62
YCR048W	ARE1   STEROL METABOLISM        ACYL-COA STEROL ACYLTRANSFERASE	-1	-1	-1	-1	-1	-1	-0.58	-0.58	-0.58	-0.45	-0.17	-0.43	0.12	-0.49	-0.09	-0.14	-0.25	-0.04	0.07	-0.27	-0.04	-0.14	-0.14	-0.1	-0.42	-0.43	-0.32	0.28	0.1	-0.17	-0.32	0.15		0.31	-0.18	-0.07	-0.17	0.24	-0.36	-0.22	-0.07	-0.03	-1.18	-0.34	0.01	-0.04	-0.36	-0.22	-0.15	-2	-0.42	-0.54	-0.58	-0.3	-1.03	-1.69	-1.51	-0.38	-1.69	0.59	-0.04	0.29	-0.84	-0.92	0.3	0.3	0.39	1.02	0.92	0.48	-0.38	-1.12	-0.23	-0.18	0.4	0.28	-0.03	0.38	-0.79	-0.67	0.28	-0.54	-0.64	0.55	0.07
YCR050C	NONE   MITOCHONDRIAL FUNCTION ( UNKNOWN	-1	-1	-1	-1	-1	-1	-0.23	-0.07	-0.2	-0.38	-0.04	-0.27	0.11	-0.25	-0.07		-0.14	0.15	-0.01	-0.07	-0.01	-0.15	-0.2	-0.12	-0.38	-0.4	-0.38	-0.36	-0.12	0.14	-0.27	-0.18	-0.2	-0.25	-0.25	-0.89	-0.54	-0.42	-0.32	-0.29	-0.27	-0.15	-0.67	-0.49	-0.15	-0.36	-0.25	-0.34	-0.18	-0.71	-0.49	-0.47	-0.94	-0.4	-0.64	-0.86	-0.76	-0.58	-0.6	-0.22	-0.36	-0.18	-0.56	-0.32	0.01	0.1	0.16	0.56	0.4	0.38	-0.97	-0.56	-0.67	-0.79	-0.1	0.31	0.42	0.32	-0.38	-0.45	-0.15	-0.62	-0.56	-0.1	-0.4
YCR052W	RSC6   CHROMATIN STRUCTURE      CHROMATIN REMODELING COMPLEX SUBUNIT	-1	-1	-1	-1	-1	-1	-0.17	-0.47	-0.17	-0.14	-0.17	-0.25	0.16	-0.38	-0.06	-0.01	-0.23	-0.01	-0.03	-0.27	-0.23	-0.29	-0.22		-0.45	-0.23	-0.42	-0.34	0.12	-0.03	-0.42	0.29	0.18	0.19	-0.03	-0.17	0.12	0.11	0.01	0.04	0.16	0.25	0.11	-0.18	0.1	0.01	-0.2	0.07	0.07	-1.6	0.12	-0.09	0.06	-0.2	-0.36	-0.64	-1.25	-1	-1.06	0.04	-0.42	-0.86	0.2	-0.07	-0.06	-0.43	-0.56	0.15		-0.36	-0.36	-0.67	-0.15	-0.14	-0.34	0.04	-0.23	-0.06	-0.67	-0.47	0.24	-0.47	-0.45	0.34	-0.12
YCR053W	THR4   THREONINE BIOSYNTHESIS   THREONINE SYNTHASE	-1	-1	-1	-1	-1	-1	0.2	-0.22	-0.06	-0.25	0.18	-0.3	0.32	-0.1	0.16	0.03	-0.04		0.18	-0.27	0.15	-0.07	-0.36	-0.15	-0.62	-0.12	-0.49	-0.12	0.18	-0.12	-0.12	-0.15	0.25	-0.01	-0.2	0.3	0.06	-0.01	-0.18	-0.22	-0.01	-0.15	0.03	-0.14	0.01	-0.01	-0.06	-0.07	-0.06	-0.42	-0.03	-0.15	0.06	-0.17	-0.54	-0.62	-1.15	-1.25	-1.25	-0.03		-0.42	-0.32	-0.51	-0.15	-0.38	-0.71	-0.15	-0.03	-0.74	-0.03	-0.62	-0.38	-0.71	0.16	-0.18	-0.81	-0.67	0.32	0.07	-0.01	-1.03	-0.69	-1.43	-1.69
YCR065W	HCM1   TRANSCRIPTION (PUTATIVE) FORKHEAD FAMILY OF DNA-BINDING PROTEINS	-1	-1	-1	-1	-1	1	-1.22	-0.23	0.54	0.66	0.18	0.07	-0.69	-0.47	-0.43	-0.6	0.18	0.77	0.66	0.38	0.1	0.28	-0.4	-0.38	-1.32	-0.84	-0.07	0.16	0.14	0.74	0.78	0.77	0.18	0.43	0.26	0.25	-0.1	0.19	-0.34	0.52	0.43	0.2	-0.49	-0.62	0.01	0.59	0.53	-0.12	-0.58	0.19	-0.29	-0.43	-0.27	-0.12	0.85	0.6	0.18	-0.4	-0.14	0.2	-0.56	-0.71	1.78	1.35	-0.36	-0.23	-0.2	0.28	-0.22	0.1	-0.79	-0.92	-0.42	-0.14	0.07	-0.09	-0.07	0.36	0.04	-0.01	-0.47	-1	-1.15	-1.43	-1.4
YCR066W	"RAD18  DNA REPAIR, POSTREPLICAT FORMS COMPLEX WITH RAD6P; PUTATIVE ATPASE"	-1	-1	-1	-1	-1	-1	-0.15	-0.15	-0.29	-0.27	-0.56	0.16	-0.47	0.16	0.06	0.08	-0.22	0.03	-0.15	-0.36	-0.47	0.03	0.04	-0.15	0.62		-0.04	-0.15	-0.06	-0.3	0.1	-0.15	-0.23	-0.27	0.23	-0.36	-0.36	-0.04	0.08	0.46	-0.1	-0.07	-0.84	-0.62	0.12	-0.42	0.21	0.15	-0.1	0.85	-0.14	-0.34	-0.22	0.15	-0.62	-0.1	-0.62	-0.58	-0.58	-0.67	-0.4	-0.23	-0.49	0.12	0.1	0.2	0.38	0.06	0.04	0.16	-0.29	-0.18	-0.27	-0.04	-0.23		0.1	0.32	-0.76	-0.12	0.16	-0.58	-0.92	0.68	0.08
YCR067C	SED4   SECRETION                ER VESICLE FORMATION	-1	-1	-1	-1	-1	-1	-0.18	-0.62	0.11	-0.25	0.12	0.21	-0.03	0.16	-0.09	0.2	0.1	-0.25	-0.15	-0.67	-0.06	-0.36	-0.03	0.55	-0.54	-0.81	-0.42	-1.29	-0.47	-1.03	-0.94	-0.38	-0.15	-0.3	-0.54	-0.06	-0.27	-0.23	-0.23	-0.27	-0.56	-0.17	-0.51	-0.17	0.1	-0.09	-0.04	-0.45	-0.4	-0.32	-0.49	-0.42	-0.69	0.01	-0.1	0.21	0.82	1.24	1.51	-0.56	0.7	0.96	0.28	0.64	0.03	0.21	0.38	0.74	0.1	0.29	-0.45	-0.38	-0.69	-1.06	-0.15	0.43	0.64	-0.84	-0.01	0.43		-0.29	-0.22	-0.6	-0.23
YCR069W	SCC3   PROTEIN FOLDING          PEPTIDYL-PROLYL CIS-TRANS ISOMERASE	-1	-1	-1	-1	-1	-1	0.18	0.3	0.45	0.23	0.25	0.41	0.28	0.53	0.37	-0.14	-0.14	-0.1	-0.14	-0.01	0.08	0.51	0.07	0.18	0.16	0.4	0.29	0.12	-0.29	-0.22	0.12	0.51	0.25	0.26	0.2	0.41	0.33	0.44	-0.92	-1.09	-0.4	0.48	0.28	0.01	-0.47	-0.15	0.14	0.55	0.37	0.7		-0.04	0.23	0.31	0.21	-0.54	-0.76	-0.79	-0.15	0.99	-0.3	0.07	0.48	-0.42	0.37	0.8	0.87	0.58	0.5	0.52	0.26	-0.62	0.69	0.62	0.26	0.24	0.74	0.11	0.16	0.16	0.19	0.07	0.19	0.54	0.48
