## There are #18 experiments in this file
## 001 -- alpha_factor_release_sample013
## 002 -- alpha_factor_release_sample014
## 003 -- alpha_factor_release_sample015
## 004 -- alpha_factor_release_sample016
## 005 -- alpha_factor_release_sample017
## 006 -- alpha_factor_release_sample018
## 007 -- alpha_factor_release_sample019
## 008 -- alpha_factor_release_sample020
## 009 -- alpha_factor_release_sample021
## 010 -- alpha_factor_release_sample022
## 011 -- alpha_factor_release_sample023
## 012 -- alpha_factor_release_sample024
## 013 -- alpha_factor_release_sample025
## 014 -- alpha_factor_release_sample026
## 015 -- alpha_factor_release_sample027
## 016 -- alpha_factor_release_sample028
## 017 -- alpha_factor_release_sample029
## 018 -- alpha_factor_release_sample030
ID	alpha_factor_release_sample013	alpha_factor_release_sample014	alpha_factor_release_sample015	alpha_factor_release_sample016	alpha_factor_release_sample017	alpha_factor_release_sample018	alpha_factor_release_sample019	alpha_factor_release_sample020	alpha_factor_release_sample021	alpha_factor_release_sample022	alpha_factor_release_sample023	alpha_factor_release_sample024	alpha_factor_release_sample025	alpha_factor_release_sample026	alpha_factor_release_sample027	alpha_factor_release_sample028	alpha_factor_release_sample029	alpha_factor_release_sample030
yol097c	0.03	-0.17	-0.3	-0.08	-0.19	-0.11	-0.47	0.19	0.3	-0.13	0.27	-0.05	-0.1	-0.32	0.18	0.13	-0.17	-0.39
yol096c	-0.11	-0.13	-0.47	0.13	-1.18	-0.08	-0.29	-0.16	-0.03	-0.71	-0.38	-0.38	-0.03	NA	-0.13	-0.11	0.02	-0.02
yol095c	0.56	0.16	0.12	0.13	0.15	0.06	-0.24	0.06	0.12	-0.38	-0.58	-0.31	-0.1	-0.53	0.14	0.23	-0.15	-0.53
yol094c	-0.18	-0.29	-0.39	0.12	-0.66	-0.03	-1.13	0.04	-0.15	-0.44	-0.88	0.09	-0.01	NA	-0.22	-0.55	0.03	-0.13
yol093w	-0.02	-0.61	0	0.18	0.22	-0.03	-0.31	0.07	0.16	0.01	0.14	0.28	0.09	-0.19	-0.06	0.24	-0.32	-0.45
yol160w	-0.4	0.37	-0.06	-0.22	-0.06	-0.34	0.05	0.14	-0.22	-0.46	-0.34	-0.21	-0.09	-0.44	0.03	-0.35	-0.06	0.68
yol092w	-0.23	-0.26	-0.85	-0.03	-0.59	-0.17	0.1	0	-0.09	-0.49	-0.45	-0.46	-0.08	-0.67	-0.13	-0.51	0.09	-0.2
yol091w	-1.49	-0.77	-0.01	-0.06	-0.09	-0.42	-0.38	-0.24	-0.54	-0.49	-0.32	-0.32	-0.59	-0.48	-0.49	-0.43	-0.05	0.63
yol090w	-0.53	-0.56	0.69	1.1	1.15	0.24	0	-0.68	-0.76	-0.48	0.15	0.9	0.76	0.22	0.18	-0.08	-0.25	-0.26
yol089c	-0.45	-0.34	0.08	0.28	0.23	NA	-0.01	0.15	-0.21	-0.11	0.11	0.13	-0.25	-0.07	0.09	-0.03	0.13	0.22
yol088c	-0.43	-0.18	0	0.04	0.24	0.01	0.32	0.01	-0.04	-0.31	-0.64	-0.62	-0.25	-0.33	0.24	-0.18	0.42	-0.02
yol087c	-0.09	-0.07	0.08	NA	-0.27	-0.25	-0.38	-0.41	-0.22	-0.34	0.08	-0.32	-0.38	-0.68	-0.14	-0.11	-0.15	-0.14
yol086c	0.28	0.25	0.2	0.37	0.43	0.32	0.46	0.34	0.28	-0.15	-0.07	-0.3	0.12	-0.1	0.48	-0.1	0.46	-0.17
yol085c	-1.02	-0.64	-0.11	-0.72	-0.37	-0.14	-0.14	-0.37	-0.03	-0.25	0.02	-0.57	-0.42	-0.15	-1.12	-0.29	0.03	0.28
yol084w	-0.25	0.11	-0.37	-2.13	-0.38	NA	-0.33	-0.1	-0.76	-0.78	-0.56	-0.8	-0.39	-0.33	-0.09	-0.83	0.19	0.58
yol165c	0.29	0.72	-0.08	0.08	0.18	-0.2	0.07	-0.02	0.17	-0.04	0.1	0.08	0.18	-0.14	0	-0.07	-0.11	-0.06
yol083w	0.27	0.23	0.64	0.51	-0.13	0.34	-0.03	0.18	-0.27	-0.26	-0.03	-0.02	-0.2	-0.5	-0.22	-0.23	-0.3	0.29
yol082w	0.15	0.78	0.73	0.14	0.2	0.01	0.08	-0.16	-0.18	-0.38	-0.18	-0.29	-0.05	-0.16	-0.08	-0.14	0.12	0.3
yol081w	-0.2	0.8	-0.43	-0.43	0.1	-0.17	-0.02	-0.08	-0.07	-0.11	-0.02	-0.27	-0.27	-0.21	0.09	-0.29	0.08	0.16
yol080c	0.04	-0.92	-0.5	-0.56	-0.07	-0.32	0.11	-0.16	-0.03	-0.2	-0.28	-0.22	0.01	-0.03	-0.29	-0.16	0.1	0.17
yol079w	0.07	-0.95	-0.48	-0.3	0.1	0.01	-0.04	0.32	0.12	-0.18	-0.14	-0.05	-0.01	-0.02	0.17	0.32	0.02	-0.46
yol078w	-0.28	-0.43	-0.52	0.22	-0.56	-1.01	-0.31	0.01	-0.07	-0.4	-0.78	-0.14	-0.42	-0.17	0.58	-0.03	-0.16	-0.36
yol077c	0.16	-0.85	-1.01	-0.55	-0.14	-0.23	-0.19	0.28	0.41	-0.14	0.35	-0.14	0.04	-0.16	0.12	0.1	-0.28	-0.31
yol076w	-0.68	-0.68	-1.07	-0.68	-0.32	NA	-0.11	-0.06	-0.06	-0.37	-0.29	-0.06	-0.16	-0.39	-0.21	0.01	-0.06	-0.01
yol075c	-0.14	0.07	-0.38	-0.38	-0.01	-0.45	-0.39	-0.15	-0.01	-0.38	0.17	-0.21	-0.18	-0.29	0.2	0.06	-0.56	-0.56
yol073c	0.04	0.06	0.18	-0.23	0	-0.31	-0.18	-0.35	0.03	-0.42	-0.08	-0.26	-0.31	-0.54	0.19	-0.19	-0.46	-0.53
yol158c	0.69	0.65	0.64	0.1	0.5	0.54	1.29	1.2	NA	NA	NA	NA	NA	0.76	1.29	1.29	NA	1.63
yol072w	-0.13	-0.09	-0.6	-0.28	-0.57	-0.05	0.01	0.09	0.08	0.11	-0.57	-0.31	-0.1	-0.72	-0.54	-0.17	-0.12	-0.01
yol071w	0.11	0.16	0.15	0.01	-0.19	-0.17	-0.15	0.08	0.13	-0.24	0.13	-0.27	-0.33	-0.53	-0.17	0.08	-0.43	-0.59
yol070c	-0.51	0.31	-0.88	-1.16	-0.86	-0.03	0.06	0.59	0.54	0.25	0.29	0.48	-0.02	-0.41	-0.05	0.16	0.29	0.47
yol069w	-0.5	-0.54	-0.58	-0.47	-0.38	0.09	0.01	0.33	0.16	-0.52	-0.25	-0.66	-0.54	-0.52	-0.08	-0.01	-0.17	-0.19
yol068c	-0.31	-0.18	-0.74	-0.2	-0.56	-0.36	-0.05	-0.34	-0.1	-0.34	-0.43	-0.37	0.06	-0.66	-0.52	0.09	-0.02	-0.2
yol067c	0.12	-0.24	0.35	-0.09	0.02	0.22	0.19	0.25	0.13	0.16	0.26	-0.12	-0.23	-0.28	0.04	0.14	0.28	0.21
yol066c	-0.42	0.91	-0.43	-0.6	-0.05	-0.62	-0.06	-0.27	-0.04	-0.33	-0.22	-0.34	0	-0.52	-0.11	-0.3	0.05	0.01
yol065c	-0.48	-0.65	-0.42	-0.54	-0.21	-0.44	-0.23	-0.39	-0.29	-0.49	-0.35	-0.58	-0.43	-0.66	-0.38	-0.24	-0.03	-0.09
yol064c	-0.02	0.04	0.28	0.01	0.03	-0.22	0.12	-0.01	0.07	-0.11	-0.06	-0.18	0.07	-0.36	-0.01	-0.22	0.18	0.15
yol063c	-0.12	-0.56	-0.15	-0.3	-0.14	-0.16	0.11	-0.29	-0.23	-0.34	-0.06	-0.15	-0.22	-0.62	-0.01	-0.16	-0.1	-0.25
yol062c	0.25	0.12	0.28	-0.15	-0.09	-0.26	0.02	-0.14	-0.04	-0.1	-0.12	-0.32	-0.18	-0.3	-0.04	-0.24	0.17	0.18
yol061w	0.09	-0.45	-0.28	-0.25	0.01	-0.05	0.09	-0.06	-0.06	-0.13	0.12	-0.19	-0.12	-0.31	0.15	-0.22	0.06	-0.14
yol060c	-0.18	0.33	0.22	-0.25	-0.04	0.12	0.4	0.11	0.01	0.12	-0.24	-0.18	-0.21	-0.05	0.06	-0.04	0.27	-0.06
yol059w	0.64	1.38	1.36	1.06	1.01	0.86	1.3	1.13	0.79	0.36	0.54	-0.01	0.05	0.19	0.8	0.19	0.31	0.12
yol058w	0.66	1.85	2.1	1.74	1.43	1	1.11	0.79	0.8	0.81	1.07	0.81	0.99	1.26	1.32	1.02	1.33	1.28
yol057w	0.13	-0.33	-0.04	0.59	0.12	0.31	0.09	0.17	-0.03	-0.02	0.18	0.06	-0.05	0	0.21	0.18	0.12	0.01
yol056w	0.1	-0.14	-0.29	-0.2	-0.01	0.09	0.63	0.23	0	0.03	-0.22	-0.29	-0.05	-0.16	-0.06	-0.23	-0.33	0.4
yol055c	0.22	-0.07	0.22	0.15	0.22	0	0.06	0.05	0.17	-0.18	0.13	-0.1	-0.03	0.15	0.11	0.17	-0.4	-0.03
yol054w	0.02	-0.12	-0.56	-0.18	-0.65	-0.08	-0.33	-0.09	-0.14	-0.41	-0.46	0.33	-0.12	-0.52	-1.86	-0.11	-0.13	-0.1
yol053w	-0.22	0.03	0.06	-0.05	0.29	-0.11	-0.35	-0.24	-0.15	-0.44	0.25	-0.4	-0.1	-0.52	-0.11	-0.01	-0.51	-0.52
yol052c	-0.01	-0.34	-0.28	-0.19	-0.26	-0.22	-0.24	0.07	-0.06	-0.26	0.05	-0.33	-0.2	-0.2	0.09	-0.06	-0.07	-0.21
yol051w	-0.23	0.3	-0.54	0.1	-0.48	0.18	-0.04	0.21	0.05	0.2	-0.07	0.2	-0.11	0.11	-0.28	0.09	-0.17	0.33
yol050c	-0.24	0.01	-0.15	0.18	0.04	0.39	0.06	0.54	0.21	0.02	0.4	0.14	-0.07	0.11	0.15	0.42	0.26	0.11
yol049w	-0.15	0.14	-0.08	0.04	-0.23	0.08	0.09	-0.08	0.18	0.13	-0.03	0.17	-0.07	-0.34	-0.1	0.04	-0.02	0.14
yol048c	0.25	0.72	0.44	0.27	-0.16	0.17	-0.08	0.1	0.03	-0.26	0.12	-0.06	-0.21	-0.43	-0.13	-0.01	-1.45	-0.19
yol047c	NA	-0.09	-0.2	-0.05	-0.83	0.12	-0.62	-0.07	-0.39	-0.03	-0.98	NA	-0.35	-0.7	NA	-0.47	-0.08	0.02
yol046c	0.36	-0.01	-0.06	0.2	0.31	0.3	0.16	0.02	0.03	-0.32	0.1	-0.06	-0.11	-0.19	0.21	0.23	-0.01	-0.25
yol045w	-0.07	-0.06	-0.33	NA	-0.18	-0.34	-0.23	-0.48	-0.14	-0.28	-0.32	0.12	0.02	-0.48	-0.54	-0.17	-0.55	-0.09
yol044w	-0.32	-1.07	-0.46	-0.49	-0.2	0.25	0.03	0.2	-0.18	-0.42	-0.29	-0.6	-0.31	-0.39	-0.6	-0.24	-0.17	-0.05
yol043c	-0.23	-0.5	-0.28	-1	-0.21	-0.21	0	-0.05	-0.12	-0.24	-0.55	-0.44	-0.28	-0.3	-0.26	-0.41	-0.7	0.36
yol042w	0.29	-0.27	-0.08	-0.1	-0.02	0.36	0.37	0.05	-0.07	-0.27	-0.01	-0.25	-0.04	-0.25	-0.04	-0.18	0.15	0.06
yol041c	0.04	-0.93	-0.61	-0.54	-0.35	-0.29	-0.07	0.03	0.13	0.01	0.06	-0.09	0	0.04	-0.16	-0.07	0.23	0.38
yol040c	0.41	0.09	0.2	0.37	0.3	0.36	0.26	0.2	0.24	-0.1	0.46	-0.1	0.25	-0.01	0.83	0.04	0.38	-0.03
yol039w	0.12	-0.01	-0.14	0.02	-0.07	-0.15	0.11	0.01	-0.04	0.04	-0.14	-0.26	0.01	-0.19	0.23	-0.21	0.27	0.03
yol038w	-0.15	-0.51	-0.11	-0.07	-0.26	-0.03	0	-0.11	-0.16	-0.49	-0.07	-0.34	-0.39	-0.8	-0.1	-0.52	-0.29	-0.36
yol037c	0.02	0.15	0.01	-0.01	0.03	0.12	0.12	-0.02	0.01	-0.11	-0.17	-0.09	-0.2	-0.35	-0.15	0	0.1	0.51
yol036w	0.07	-0.07	-0.03	0.13	0.04	0.6	0.24	-0.04	-0.15	-0.22	-0.08	-0.16	-0.15	-0.17	0.14	-0.14	0.15	0.06
yol035c	0.15	0.26	0.31	0.14	0.17	0.1	0.26	0.33	0.2	-0.06	-0.2	-0.02	-0.08	-0.24	-0.14	-0.1	0.32	0.38
yol034w	-0.33	-0.46	0.19	0.32	0.26	0.45	0.14	-0.24	-0.22	-0.39	0.12	0.05	0.01	-0.13	-0.04	-0.14	-0.07	0.29
yol033w	-0.21	-0.28	0.04	-0.14	-0.08	-0.42	-0.1	-0.52	-0.09	-0.23	-0.09	-0.14	-0.13	-0.64	-0.4	-0.2	-0.12	0.63
yol032w	0.14	0.14	0.05	0.09	-0.07	0.02	0.1	0.01	0.06	-0.34	-0.1	-0.33	-0.26	-0.46	-0.21	-0.05	0.03	-0.14
yol031c	-0.42	-0.08	-0.16	1.19	-0.66	-0.19	-0.15	-0.41	-0.14	-0.34	-0.53	-0.23	-0.16	-0.71	-1.39	-0.27	-0.23	-0.21
yol030w	0.04	0.03	-0.13	-0.03	0.02	0.55	0.91	0.99	0.77	0.03	0.14	-0.51	-0.18	-0.01	0.62	0.51	0.83	0.29
yol029c	-0.42	-0.12	-0.83	-0.04	-0.41	-0.05	0.03	0	-0.01	-0.15	-0.39	-0.17	-0.23	-0.24	-0.38	-0.11	-0.28	0.16
yol028c	-0.21	-0.34	-0.34	-0.03	-0.16	0	0.07	0.22	0.54	-0.04	0.07	0.03	-0.17	-0.04	-0.06	0.1	0.27	0.04
yol027c	-0.06	-0.02	-0.45	-0.19	-0.3	0.15	0.18	-0.1	0.07	-0.04	-0.18	-0.23	-0.1	-0.26	-0.31	-0.27	-0.23	-0.18
yol025w	-0.06	0.32	-0.54	-0.69	-0.93	-0.02	-0.35	-0.03	-0.28	0.12	-0.36	-0.19	-0.29	-0.53	-1.09	-0.38	-0.09	0.01
yol024w	0.13	0.34	0.04	0.5	0	0.68	-0.01	0.58	0.01	-0.34	0.74	-0.22	-0.08	0	-0.14	-0.06	0.28	-0.14
yol023w	-0.62	0.06	-0.55	-0.8	-0.55	NA	0.09	0.01	-0.13	-0.06	-0.69	-0.23	-0.31	-0.23	-1.1	-0.21	-0.28	-0.14
yol022c	0.36	0.04	-0.35	-0.24	0.03	0.13	0.15	0.47	0.36	-0.13	0.2	0.01	0.13	-0.04	0.14	0.09	0.15	-0.01
yol021c	-0.07	-0.63	-0.97	-0.35	-0.36	-0.22	-0.06	-0.09	-0.06	0.17	-0.03	0.06	-0.25	-0.16	-0.36	0.12	-0.47	0.03
yol020w	0.02	-0.31	-0.17	0.07	0.24	0.83	0.42	0.03	-0.16	-0.25	-0.02	-0.08	0.06	0.21	0.16	-0.04	0.21	-0.08
yol155c	0.73	-0.35	-0.92	-1.54	-0.36	-0.31	-0.4	-0.54	-0.61	-0.65	0.28	1.09	NA	1.25	1.38	1.16	0.6	0.03
yol019w	-0.59	NA	-0.27	0.31	0.44	0.2	0	-0.87	-0.66	0.43	0.62	0.66	0.62	0.47	0.08	-0.22	-0.42	-0.14
yol018c	0.07	-0.29	0.4	0.07	-0.06	0.61	0.17	-0.18	-0.34	-0.05	-0.24	0.34	0.26	0.15	0.32	0.17	0.23	0.49
yol017w	-1.21	-0.69	1.4	1.07	0.45	-0.33	-0.42	-1.42	-0.89	-0.06	0.26	0.74	0.36	-0.49	-0.82	-0.78	-0.36	0.21
yol016c	NA	1.61	1.67	0.98	0.52	0.75	0.33	0.18	0.21	0.11	0.3	0.62	0.23	0.07	0.16	-0.02	0.05	0.3
yol015w	-0.52	-1.06	-1.37	-1.65	-0.49	-1.25	-1.12	-0.46	-0.54	-0.34	-0.92	-0.32	-0.69	-0.3	-1.36	-0.7	-0.23	0.56
yol014w	1.27	-0.36	-0.14	-0.59	-0.28	0.07	0.14	-0.04	0.25	-0.37	-0.19	-0.55	-0.29	-0.59	-0.35	-0.22	0.3	0.69
yol013c	0.12	0.27	0.37	-0.18	-0.08	-0.28	0.16	-0.14	-0.07	-0.01	0.01	0.01	-0.03	-0.17	-0.23	-0.18	0.09	0.46
yol012c	-1.6	-1	-1.42	-0.93	-0.24	0.65	0.38	0.05	-0.26	-0.72	-0.75	-0.95	-0.28	-0.25	0.51	0.14	0.3	0.14
yol011w	-0.26	-0.48	1.01	0.34	-0.05	-0.55	-0.05	-0.76	-0.18	0.17	0.29	0.3	-0.06	-0.2	-0.22	-0.44	-0.32	0.03
yol010w	0.25	-1.43	-0.7	-0.38	-0.12	0.14	0.11	-0.13	-0.12	-0.27	-0.08	-0.3	-0.01	-0.41	-0.16	-0.14	0.06	0.13
yol009c	0.58	-0.41	-0.04	-1.03	-0.27	-0.53	-0.07	-0.69	-0.09	-0.41	-0.22	-0.25	-0.29	-0.67	-0.55	-0.52	-0.27	0.57
yol008w	0.03	-0.57	0.05	0.51	0.22	-0.23	-0.03	-0.2	-0.19	-0.58	-0.04	0.01	0.35	0.04	-0.22	-0.36	-0.23	-0.3
yol007c	NA	-1.14	0.86	0.98	0.72	-0.31	-0.38	-1.57	-1.38	NA	-0.34	1.19	0.94	0.49	-0.09	-0.44	-0.8	-1.2
yol006c	-0.36	-0.77	-0.2	0.26	-0.09	-0.46	-0.46	-0.47	-0.34	-0.15	0.4	0.5	0.18	-0.02	0.09	0.04	-0.32	-0.1
yol005c	-0.8	-0.35	0.01	-0.48	-0.29	-0.24	-0.1	-0.5	-0.09	-0.5	-0.23	-0.4	0.92	-0.54	-0.38	-0.33	-0.48	-0.31
yol004w	-0.22	-0.23	-0.46	-0.13	-0.28	-0.13	-0.2	-0.49	-0.07	-0.03	0.19	0	-0.31	-0.08	-0.01	0.27	-0.27	0.03
yol003c	-0.06	0.08	-0.06	0.18	0.02	0.3	0.12	-0.21	-0.27	-0.34	-0.28	-0.14	0.11	-0.37	-0.32	-0.19	-0.16	-0.26
yol002c	0.61	-0.14	-0.24	-1.03	-0.91	-1.05	-0.49	-0.67	-0.17	-0.37	-0.08	-0.32	0.03	-0.43	-0.37	-0.55	-0.4	-0.21
yol001w	-0.01	0.31	-0.34	-0.46	-0.63	-0.19	-0.27	-0.25	-0.37	-0.29	-0.29	-0.26	-0.14	-0.59	-0.65	-0.29	-0.24	-0.18
yor001w	0.3	-0.64	-0.79	-0.74	-0.41	-0.47	-0.03	0.31	0.26	-0.03	0.14	-0.07	-0.2	-0.46	-0.23	0.06	-0.3	0.06
yor002w	-0.02	-0.02	-0.36	-0.41	-0.33	-0.27	-0.09	-0.47	-0.12	-0.11	-0.21	-0.24	-0.09	-0.4	-0.25	-0.48	-0.37	-0.27
yor003w	-0.01	-0.49	0.31	0.41	0.01	0.27	0.14	0.36	0.01	-0.44	-0.21	-0.24	0.09	-0.32	-0.12	-0.03	0.06	-0.26
yor004w	0.07	-0.71	-1.15	-0.37	-0.26	0.02	0.04	-0.2	0.07	0	-0.18	-0.26	-0.05	-0.33	-0.41	-0.2	-0.38	-0.22
yor005c	-0.03	-0.06	-0.47	-0.26	-0.19	-0.3	-0.05	-0.19	-0.03	-0.3	-0.24	-0.38	-0.12	-0.3	-0.35	-0.25	-0.31	-0.24
yor006c	-0.09	-0.51	-0.48	-0.66	-0.47	-0.14	-0.23	-0.26	-0.07	-0.34	-0.51	-0.4	-0.24	-0.69	-0.95	-0.33	-0.26	-0.22
yor007c	0.53	0.09	0.28	0.46	0.35	0.2	0.49	0.39	0.57	0.18	0.42	0.05	0.2	-0.01	0.21	0.24	0.03	-0.03
yor008c	-0.11	0.08	0.06	0.23	-0.12	-0.24	-0.23	-0.38	-0.24	-0.27	-0.3	-0.07	-0.05	-0.43	-0.58	-0.28	-0.44	-0.24
yor009w	-0.46	0.53	-0.55	-0.51	-0.24	-0.76	-0.11	-0.4	-0.14	-0.53	-0.35	-0.46	-0.15	-0.31	-0.08	-0.17	-0.13	-0.49
yor010c	-1.28	-1.25	-0.98	-1.39	-0.81	-1.17	-0.46	-1.04	-0.52	-0.58	-0.69	-0.83	-0.49	-0.31	0	-0.33	-0.18	0.36
yol154w	0.34	0.27	0.39	0.48	0.25	0.33	0.29	-0.35	-0.03	-0.03	-0.07	0.23	-0.02	NA	0.1	-0.11	0.16	0.9
yor011w	-0.27	-0.47	-0.16	-0.38	-0.04	-0.24	-0.18	-0.41	-0.17	-0.43	-0.09	-0.24	-0.13	-0.42	-0.17	-0.3	-0.08	-0.08
yor012w	-0.08	-0.56	-0.58	-0.38	-0.09	-0.86	-0.16	-0.53	-0.36	-0.47	-0.29	-0.7	-0.41	-0.34	-0.31	-0.31	-0.3	0.11
yor014w	0.42	0.26	0.62	0.24	0.14	-0.1	0.01	-0.04	-0.07	0.15	-0.07	0.3	0	0.12	-0.03	0.11	-0.07	0.48
yor015w	0.18	0.31	0.56	0.4	0.26	0.38	-0.04	0.08	-0.04	-0.12	0.19	-0.01	0.07	-0.01	0.32	-0.15	0.26	-0.47
yor016c	0.41	-0.11	-1.28	-0.95	-0.5	-0.92	-0.73	-0.68	-0.67	0.07	-0.28	-0.41	-0.81	-1.11	0.47	-0.72	-0.47	1.01
yor017w	-0.73	-0.56	-0.11	0.17	0.07	0.49	-0.07	-0.18	-0.44	-0.25	-0.08	0.12	-0.14	-0.06	0.1	0.02	-0.01	0.12
yor018w	1.26	0.24	0.31	-0.07	-0.15	-0.28	-0.12	-0.27	-0.07	0.15	0.2	0.09	-0.16	-0.32	-0.05	-0.04	0.06	0.54
yor019w	0.67	0.41	0.68	0.43	0.55	1.02	0.38	0.31	0.28	0.1	0.24	0.14	0.03	0.2	0.38	0.32	0.43	0.63
yol153c	0.04	-0.18	0.02	-0.58	0.21	-0.23	-0.08	-0.25	-0.19	-0.54	-0.16	-0.17	0.03	-0.39	-0.04	-0.03	0.09	-0.22
yor020c	-0.09	-0.06	0.09	0.12	0.14	0.1	0.31	0.13	0.14	0.06	-0.03	-0.32	-0.18	-0.6	-0.16	-0.56	-0.05	-0.11
yor021c	-0.16	-0.82	-0.53	-0.62	-0.09	0.21	0.12	-0.07	0.17	-0.26	0.04	-0.23	-0.03	-0.16	0.04	-0.04	0.2	0.03
yor022c	0.06	0.45	0.12	0.23	-0.09	0.25	-0.05	0.2	-0.02	0.62	-0.1	0.16	0	-0.14	-0.39	0.09	-0.12	0.21
yor023c	-0.04	-0.39	-0.47	-0.23	-0.17	-0.27	0.08	0.07	0.2	-0.15	0.16	-0.16	-0.14	-0.34	-0.13	0.07	-0.04	-0.15
yor024w	-0.73	-0.26	-0.76	-0.78	-0.81	-0.09	-0.42	-0.22	-0.41	-0.23	-0.5	-1.06	-0.25	-0.82	-0.78	-0.22	-0.1	-0.18
yor025w	-1.67	1.51	-1.27	-0.98	-0.83	-0.26	0.48	0.55	0.78	0.14	-0.01	-0.38	-0.52	-0.74	0.01	0.56	0.67	0.36
yor026w	-1.11	-0.9	-0.59	-0.83	-0.63	-0.47	-0.11	-0.16	0.01	-0.15	-0.33	-0.54	-0.15	-0.77	-0.7	-0.18	-0.24	-0.22
yor027w	0.25	0.1	0.14	0.56	0.32	0.28	0.49	0.55	0.37	0.08	0.21	-0.08	-0.22	-0.17	0.01	0.19	0.02	-0.03
yor028c	-0.85	1.64	-0.66	NA	-1.02	-1.11	-1.04	-0.7	-0.44	-0.44	-0.85	NA	-0.42	-1.22	NA	-0.51	-0.58	-0.19
yor029w	0.07	-0.06	-0.08	-0.08	0.35	-0.04	-0.39	0.2	-0.06	-0.3	-0.05	-0.08	-0.21	-0.22	-0.48	-0.01	-0.03	-0.16
yor030w	-0.32	-0.14	NA	NA	-0.92	-0.55	-0.61	-0.38	-0.47	-0.33	-0.33	-0.87	-0.37	-1.45	NA	-0.37	-0.46	-0.03
yor031w	0.25	-0.05	-0.14	0.08	-0.24	-0.1	-0.09	-0.27	0.1	-0.23	-0.16	-0.24	0.03	-0.02	-0.29	0.12	0.12	-0.2
yor032c	-0.5	-0.15	-0.57	-0.48	-0.8	-0.4	-0.09	-0.51	-0.59	-0.82	-0.25	-0.97	-0.21	NA	-0.5	-0.18	-0.83	-0.47
yor033c	-0.17	-0.27	0.65	0.64	0.18	-0.2	-0.15	-0.36	-0.27	-0.29	0.4	0.47	0.29	-0.07	-0.02	0.13	-0.13	-0.3
yor034c	-0.05	-0.11	0.03	-0.03	0.29	0.23	0.12	-0.05	0.03	0.22	-0.11	0.19	-0.02	0.06	-0.03	0.06	0.31	0.51
yor035c	0.07	-0.35	-0.14	-0.36	-0.23	0.1	-0.29	-0.28	-0.43	-0.4	-0.06	0.04	-0.46	-0.2	-0.1	-0.08	0.01	0.32
yor036w	0.45	0.39	0.19	-0.4	-0.14	-0.36	-0.17	-0.15	-0.11	-0.01	-0.33	-0.14	-0.31	-0.54	-0.33	-0.2	-0.03	0.52
yor037w	0.07	-0.39	0.14	-0.02	0.36	0.33	0.01	-0.34	-0.3	-0.18	0.02	-0.2	-0.06	-0.29	-0.19	-0.18	0.09	0.35
yor038c	-0.47	-0.39	-0.29	-0.52	-0.14	-0.32	-0.14	-0.33	-0.06	0.06	-0.1	0.04	-0.19	-0.47	-0.22	-0.07	0.1	0.34
yor039w	-0.23	-0.55	0.12	0.28	0.24	0.32	-0.05	-0.34	-0.19	-0.49	0.01	-0.31	0.1	-0.4	0.05	-0.48	-0.18	-0.16
yor040w	-0.34	-0.38	-0.45	-0.45	-0.31	-0.44	-0.35	-0.42	-0.52	-0.38	-0.67	-0.16	-0.52	-0.66	-0.56	-0.49	-0.21	0.46
yol152w	0.76	-0.05	0.22	-0.21	0.17	-0.28	0.2	-0.77	-0.4	-0.1	0.02	0.13	-0.06	NA	-0.12	-0.38	-0.26	0.62
yor041c	0.03	-0.21	0.19	0.12	0.09	0.32	0.03	-0.09	-0.03	0.24	0.19	0.09	0	-0.03	-0.17	-0.06	0.16	0.17
yor042w	-0.07	0.02	0.12	-0.14	-0.12	-0.25	-0.07	-0.14	-0.04	NA	0	0.23	-0.14	-0.35	-0.32	-0.12	-0.02	0.43
yor043w	0.04	-0.25	-0.15	-0.25	0.02	0.29	0.02	0.2	-0.02	-0.08	0	-0.07	-0.08	0	0.07	0.05	-0.11	0.23
yor044w	0.08	0.42	0.11	0.18	0.03	0.19	0.07	0.04	0.04	0.04	-0.24	-0.33	-0.13	0.02	-0.2	-0.39	-1.23	0.72
yor045w	0.06	-0.3	0.01	0.14	0.32	0.69	0.48	0.14	0.15	-0.19	0.12	-0.35	0.05	-0.16	0.33	-0.24	0.12	-0.23
yor046c	0.05	-0.09	-0.58	-0.46	-0.49	-0.35	0.03	-0.28	0.11	0.16	-0.1	-0.03	-0.19	-0.35	-0.39	-0.09	-0.35	0.03
yor047c	0.03	0.04	-0.01	0.33	0.04	0.15	-0.09	0.17	-0.2	-0.06	-0.02	0.03	-0.1	0.09	-0.04	0.12	0.24	-0.19
yor048c	0.04	-0.27	-0.62	-0.36	-0.39	0.03	0.16	0.06	0.23	0.29	0.04	0.36	0.04	0.05	-0.06	0.16	0.02	0.3
yor049c	-0.38	-0.38	-0.69	-0.8	-0.51	-0.78	-0.27	-0.53	-0.24	-0.47	-0.34	-0.49	-0.36	-0.67	-0.46	-0.23	-0.17	-0.48
yor050c	0.92	0.43	-0.23	-0.17	-0.55	-0.06	-0.1	-0.49	-0.27	-0.11	-0.56	-0.14	-0.3	-1.47	NA	-0.32	-0.08	-0.19
yor051c	0.29	0.01	-0.35	-0.36	-0.25	-0.38	-0.19	-0.15	0.02	-0.28	0.12	-0.2	-0.22	-0.47	-0.19	-0.03	-0.13	-0.11
