YORF	alpha_factor_release_sample013	alpha_factor_release_sample014	alpha_factor_release_sample015	alpha_factor_release_sample016	alpha_factor_release_sample017	alpha_factor_release_sample018	alpha_factor_release_sample019	alpha_factor_release_sample020	alpha_factor_release_sample021	alpha_factor_release_sample022	alpha_factor_release_sample023	alpha_factor_release_sample024	alpha_factor_release_sample025	alpha_factor_release_sample026	alpha_factor_release_sample027	alpha_factor_release_sample028	alpha_factor_release_sample029	alpha_factor_release_sample030
YOL006C	-0.36	-0.77	-0.2	0.26	-0.09	-0.46	-0.46	-0.47	-0.34	-0.15	0.4	0.5	0.18	-0.02	0.09	0.04	-0.32	-0.1
YCRX19W	-0.07	-0.19	0.19	-0.16	0	-0.17	-0.1	-0.11	-0.04	0.06	0.11	0.28	0.12	0.77	-0.24	0.04	0.01	-0.07
YOL005C	-0.8	-0.35	0.01	-0.48	-0.29	-0.24	-0.1	-0.5	-0.09	-0.5	-0.23	-0.4	0.92	-0.54	-0.38	-0.33	-0.48	-0.31
YOL004W	-0.22	-0.23	-0.46	-0.13	-0.28	-0.13	-0.2	-0.49	-0.07	-0.03	0.19	0	-0.31	-0.08	-0.01	0.27	-0.27	0.03
YOL003C	-0.06	0.08	-0.06	0.18	0.02	0.3	0.12	-0.21	-0.27	-0.34	-0.28	-0.14	0.11	-0.37	-0.32	-0.19	-0.16	-0.26
YOL002C	0.61	-0.14	-0.24	-1.03	-0.91	-1.05	-0.49	-0.67	-0.17	-0.37	-0.08	-0.32	0.03	-0.43	-0.37	-0.55	-0.4	-0.21
YOL001W	-0.01	0.31	-0.34	-0.46	-0.63	-0.19	-0.27	-0.25	-0.37	-0.29	-0.29	-0.26	-0.14	-0.59	-0.65	-0.29	-0.24	-0.18
YOR001W	0.3	-0.64	-0.79	-0.74	-0.41	-0.47	-0.03	0.31	0.26	-0.03	0.14	-0.07	-0.2	-0.46	-0.23	0.06	-0.3	0.06
YOR002W	-0.02	-0.02	-0.36	-0.41	-0.33	-0.27	-0.09	-0.47	-0.12	-0.11	-0.21	-0.24	-0.09	-0.4	-0.25	-0.48	-0.37	-0.27
YOR003W	-0.01	-0.49	0.31	0.41	0.01	0.27	0.14	0.36	0.01	-0.44	-0.21	-0.24	0.09	-0.32	-0.12	-0.03	0.06	-0.26
YOR004W	0.07	-0.71	-1.15	-0.37	-0.26	0.02	0.04	-0.2	0.07	0	-0.18	-0.26	-0.05	-0.33	-0.41	-0.2	-0.38	-0.22
YOR005C	-0.03	-0.06	-0.47	-0.26	-0.19	-0.3	-0.05	-0.19	-0.03	-0.3	-0.24	-0.38	-0.12	-0.3	-0.35	-0.25	-0.31	-0.24
YCRX20C	-0.09	-0.31	-0.03	0.04	-0.04	0.04	-0.03	0.29	-0.11	0.09	0.5	0.19	-0.12	0.36	-0.04	0.36	0.01	-0.01
YOR006C	-0.09	-0.51	-0.48	-0.66	-0.47	-0.14	-0.23	-0.26	-0.07	-0.34	-0.51	-0.4	-0.24	-0.69	-0.95	-0.33	-0.26	-0.22
YOR007C	0.53	0.09	0.28	0.46	0.35	0.2	0.49	0.39	0.57	0.18	0.42	0.05	0.2	-0.01	0.21	0.24	0.03	-0.03
YOR008C	-0.11	0.08	0.06	0.23	-0.12	-0.24	-0.23	-0.38	-0.24	-0.27	-0.3	-0.07	-0.05	-0.43	-0.58	-0.28	-0.44	-0.24
YOR009W	-0.46	0.53	-0.55	-0.51	-0.24	-0.76	-0.11	-0.4	-0.14	-0.53	-0.35	-0.46	-0.15	-0.31	-0.08	-0.17	-0.13	-0.49
YOR010C	-1.28	-1.25	-0.98	-1.39	-0.81	-1.17	-0.46	-1.04	-0.52	-0.58	-0.69	-0.83	-0.49	-0.31	0	-0.33	-0.18	0.36
YOL154W	0.34	0.27	0.39	0.48	0.25	0.33	0.29	-0.35	-0.03	-0.03	-0.07	0.23	-0.02	0	0.1	-0.11	0.16	0.9
YOR011W	-0.27	-0.47	-0.16	-0.38	-0.04	-0.24	-0.18	-0.41	-0.17	-0.43	-0.09	-0.24	-0.13	-0.42	-0.17	-0.3	-0.08	-0.08
YOR012W	-0.08	-0.56	-0.58	-0.38	-0.09	-0.86	-0.16	-0.53	-0.36	-0.47	-0.29	-0.7	-0.41	-0.34	-0.31	-0.31	-0.3	0.11
YOR013W	-0.22	-0.5	-0.09	-0.5	0.23	0.07	-0.11	-0.46	-0.35	-0.65	-0.47	-0.49	-0.23	-0.27	-0.23	-0.18	-0.03	0.35
YCRX21C	0.32	0.15	0.34	0.04	0.25	-0.14	0.14	-0.14	0.16	0.15	0.22	0.27	0.26	0.16	-0.04	-0.06	0.11	0.04
YOR014W	0.42	0.26	0.62	0.24	0.14	-0.1	0.01	-0.04	-0.07	0.15	-0.07	0.3	0	0.12	-0.03	0.11	-0.07	0.48
YOR015W	0.18	0.31	0.56	0.4	0.26	0.38	-0.04	0.08	-0.04	-0.12	0.19	-0.01	0.07	-0.01	0.32	-0.15	0.26	-0.47
YOR016C	0.41	-0.11	-1.28	-0.95	-0.5	-0.92	-0.73	-0.68	-0.67	0.07	-0.28	-0.41	-0.81	-1.11	0.47	-0.72	-0.47	1.01
YOR017W	-0.73	-0.56	-0.11	0.17	0.07	0.49	-0.07	-0.18	-0.44	-0.25	-0.08	0.12	-0.14	-0.06	0.1	0.02	-0.01	0.12
YOR018W	1.26	0.24	0.31	-0.07	-0.15	-0.28	-0.12	-0.27	-0.07	0.15	0.2	0.09	-0.16	-0.32	-0.05	-0.04	0.06	0.54
YOR019W	0.67	0.41	0.68	0.43	0.55	1.02	0.38	0.31	0.28	0.1	0.24	0.14	0.03	0.2	0.38	0.32	0.43	0.63
YOL153C	0.04	-0.18	0.02	-0.58	0.21	-0.23	-0.08	-0.25	-0.19	-0.54	-0.16	-0.17	0.03	-0.39	-0.04	-0.03	0.09	-0.22
YOR020C	-0.09	-0.06	0.09	0.12	0.14	0.1	0.31	0.13	0.14	0.06	-0.03	-0.32	-0.18	-0.6	-0.16	-0.56	-0.05	-0.11
YOR021C	-0.16	-0.82	-0.53	-0.62	-0.09	0.21	0.12	-0.07	0.17	-0.26	0.04	-0.23	-0.03	-0.16	0.04	-0.04	0.2	0.03
YOR022C	0.06	0.45	0.12	0.23	-0.09	0.25	-0.05	0.2	-0.02	0.62	-0.1	0.16	0	-0.14	-0.39	0.09	-0.12	0.21
YOR023C	-0.04	-0.39	-0.47	-0.23	-0.17	-0.27	0.08	0.07	0.2	-0.15	0.16	-0.16	-0.14	-0.34	-0.13	0.07	-0.04	-0.15
YOR024W	-0.73	-0.26	-0.76	-0.78	-0.81	-0.09	-0.42	-0.22	-0.41	-0.23	-0.5	-1.06	-0.25	-0.82	-0.78	-0.22	-0.1	-0.18
YOR025W	-1.67	1.51	-1.27	-0.98	-0.83	-0.26	0.48	0.55	0.78	0.14	-0.01	-0.38	-0.52	-0.74	0.01	0.56	0.67	0.36
YOR026W	-1.11	-0.9	-0.59	-0.83	-0.63	-0.47	-0.11	-0.16	0.01	-0.15	-0.33	-0.54	-0.15	-0.77	-0.7	-0.18	-0.24	-0.22
YOR027W	0.25	0.1	0.14	0.56	0.32	0.28	0.49	0.55	0.37	0.08	0.21	-0.08	-0.22	-0.17	0.01	0.19	0.02	-0.03
YOR028C	-0.85	1.64	-0.66	0	-1.02	-1.11	-1.04	-0.7	-0.44	-0.44	-0.85	0	-0.42	-1.22	0	-0.51	-0.58	-0.19
YOR029W	0.07	-0.06	-0.08	-0.08	0.35	-0.04	-0.39	0.2	-0.06	-0.3	-0.05	-0.08	-0.21	-0.22	-0.48	-0.01	-0.03	-0.16
YOR030W	-0.32	-0.14	0	0	-0.92	-0.55	-0.61	-0.38	-0.47	-0.33	-0.33	-0.87	-0.37	-1.45	0	-0.37	-0.46	-0.03
YOR031W	0.25	-0.05	-0.14	0.08	-0.24	-0.1	-0.09	-0.27	0.1	-0.23	-0.16	-0.24	0.03	-0.02	-0.29	0.12	0.12	-0.2
YOR032C	-0.5	-0.15	-0.57	-0.48	-0.8	-0.4	-0.09	-0.51	-0.59	-0.82	-0.25	-0.97	-0.21	0	-0.5	-0.18	-0.83	-0.47
YOR033C	-0.17	-0.27	0.65	0.64	0.18	-0.2	-0.15	-0.36	-0.27	-0.29	0.4	0.47	0.29	-0.07	-0.02	0.13	-0.13	-0.3
YOR034C	-0.05	-0.11	0.03	-0.03	0.29	0.23	0.12	-0.05	0.03	0.22	-0.11	0.19	-0.02	0.06	-0.03	0.06	0.31	0.51
YOR035C	0.07	-0.35	-0.14	-0.36	-0.23	0.1	-0.29	-0.28	-0.43	-0.4	-0.06	0.04	-0.46	-0.2	-0.1	-0.08	0.01	0.32
YOR036W	0.45	0.39	0.19	-0.4	-0.14	-0.36	-0.17	-0.15	-0.11	-0.01	-0.33	-0.14	-0.31	-0.54	-0.33	-0.2	-0.03	0.52
YOR037W	0.07	-0.39	0.14	-0.02	0.36	0.33	0.01	-0.34	-0.3	-0.18	0.02	-0.2	-0.06	-0.29	-0.19	-0.18	0.09	0.35
YOR038C	-0.47	-0.39	-0.29	-0.52	-0.14	-0.32	-0.14	-0.33	-0.06	0.06	-0.1	0.04	-0.19	-0.47	-0.22	-0.07	0.1	0.34
YOR039W	-0.23	-0.55	0.12	0.28	0.24	0.32	-0.05	-0.34	-0.19	-0.49	0.01	-0.31	0.1	-0.4	0.05	-0.48	-0.18	-0.16
YOR040W	-0.34	-0.38	-0.45	-0.45	-0.31	-0.44	-0.35	-0.42	-0.52	-0.38	-0.67	-0.16	-0.52	-0.66	-0.56	-0.49	-0.21	0.46
YOL152W	0.76	-0.05	0.22	-0.21	0.17	-0.28	0.2	-0.77	-0.4	-0.1	0.02	0.13	-0.06	0	-0.12	-0.38	-0.26	0.62
YOR041C	0.03	-0.21	0.19	0.12	0.09	0.32	0.03	-0.09	-0.03	0.24	0.19	0.09	0	-0.03	-0.17	-0.06	0.16	0.17
YEL0171C	-0.33	-0.6	-0.57	-0.63	-0.35	-0.73	0.26	-0.23	0.52	0.24	0.18	-0.17	-0.17	-0.28	0.03	-0.14	0.38	-0.04
YOR042W	-0.07	0.02	0.12	-0.14	-0.12	-0.25	-0.07	-0.14	-0.04	0	0	0.23	-0.14	-0.35	-0.32	-0.12	-0.02	0.43
YOR043W	0.04	-0.25	-0.15	-0.25	0.02	0.29	0.02	0.2	-0.02	-0.08	0	-0.07	-0.08	0	0.07	0.05	-0.11	0.23
YOR044W	0.08	0.42	0.11	0.18	0.03	0.19	0.07	0.04	0.04	0.04	-0.24	-0.33	-0.13	0.02	-0.2	-0.39	-1.23	0.72
YOR045W	0.06	-0.3	0.01	0.14	0.32	0.69	0.48	0.14	0.15	-0.19	0.12	-0.35	0.05	-0.16	0.33	-0.24	0.12	-0.23
YOR046C	0.05	-0.09	-0.58	-0.46	-0.49	-0.35	0.03	-0.28	0.11	0.16	-0.1	-0.03	-0.19	-0.35	-0.39	-0.09	-0.35	0.03
YOR047C	0.03	0.04	-0.01	0.33	0.04	0.15	-0.09	0.17	-0.2	-0.06	-0.02	0.03	-0.1	0.09	-0.04	0.12	0.24	-0.19
YOR048C	0.04	-0.27	-0.62	-0.36	-0.39	0.03	0.16	0.06	0.23	0.29	0.04	0.36	0.04	0.05	-0.06	0.16	0.02	0.3
YOR049C	-0.38	-0.38	-0.69	-0.8	-0.51	-0.78	-0.27	-0.53	-0.24	-0.47	-0.34	-0.49	-0.36	-0.67	-0.46	-0.23	-0.17	-0.48
YOR050C	0.92	0.43	-0.23	-0.17	-0.55	-0.06	-0.1	-0.49	-0.27	-0.11	-0.56	-0.14	-0.3	-1.47	0	-0.32	-0.08	-0.19
YOR051C	0.29	0.01	-0.35	-0.36	-0.25	-0.38	-0.19	-0.15	0.02	-0.28	0.12	-0.2	-0.22	-0.47	-0.19	-0.03	-0.13	-0.11
YER0191C	-0.18	0	-0.25	0.12	-0.52	0.18	-0.34	0.1	0.02	0.32	0.07	-0.23	-0.05	0.02	0.12	0.12	0.11	-0.05
YOR052C	1.4	1.13	0	0.35	-0.67	0.28	-0.01	0.03	0.03	0.19	-0.42	0.11	-0.3	-0.6	-0.62	-0.37	-0.07	-0.03
YOR053W	0.06	-0.19	-0.25	-0.07	0.03	-0.31	-0.1	-0.12	-0.07	-0.17	0.28	-0.15	-0.07	-0.29	0.04	0.11	-0.1	-0.16
YOR054C	-0.05	0.13	-0.79	-0.53	-0.69	-0.23	-0.41	-0.52	-0.47	-0.01	-0.38	-0.18	-0.33	-0.53	-0.61	-0.18	-0.32	0
YOR055W	-0.14	0.09	-0.08	-0.14	-0.15	-0.28	-0.38	-0.14	-0.34	-0.46	0.01	-0.28	-0.37	-0.1	-0.17	0.02	-0.15	-0.27
YOR056C	-0.03	-0.56	-1.31	-0.67	-0.46	0.08	0.02	0.17	0.13	0.17	-0.33	-0.3	-0.17	-0.03	-0.47	0.1	0.03	0.37
YOR057W	0.04	-0.42	-0.49	-0.51	-0.4	-0.3	-0.17	-0.42	0.06	-0.5	0.16	-0.6	-0.16	-0.36	0.05	-0.07	-0.49	-0.3
YOR058C	-1.03	-0.85	-1.22	-0.72	-1.38	-0.97	-0.14	0.54	0.93	-0.59	-0.05	-0.73	-0.78	-0.96	0.23	-0.17	0.27	-0.18
YOL151W	-0.67	0.21	0.29	0.18	-0.07	-0.38	-0.1	-0.65	-0.25	-0.76	-0.46	-0.71	-0.38	-0.6	-0.24	-0.22	-0.21	-0.32
YOR059C	0	-0.34	0	-0.1	0.19	0.67	0.39	0.14	-0.07	-0.29	-0.26	-0.34	-0.27	-0.32	0.13	-0.02	-0.09	0.26
YOR060C	-0.1	-0.45	-0.35	-0.46	-0.37	-0.34	-0.18	-0.18	-0.29	-0.35	-0.47	-0.39	-0.39	-0.13	-0.48	-0.43	-0.03	0.45
YER0441C	0.04	-1.03	-0.22	-0.25	-0.28	0.03	0.03	0.02	0.09	-0.07	-0.32	-0.23	-0.25	0.01	-0.98	0.02	-0.29	-0.28
YOR061W	0.13	-0.39	0.18	-0.22	-0.07	0.47	-0.04	-0.53	0.27	-0.46	0.42	-0.72	0.19	0.19	0.35	0	0	0.42
YOR062C	-0.07	0.4	-0.58	-0.5	-0.5	-0.19	-0.29	-0.11	-0.41	-0.31	-0.59	-0.61	-0.39	-0.11	-0.65	-0.51	-0.06	-0.04
YOR063W	0.4	-0.12	0.12	0.03	0.28	0.39	0.29	0.16	0.17	0.06	0.28	0.07	0.24	0.14	0.68	0.26	0.27	0.09
YOL150C	-0.83	0.44	0.33	0.18	-0.28	-0.04	-0.28	-0.55	-0.51	-0.47	-0.67	-0.53	-0.44	-0.27	-0.35	-0.34	-0.23	-0.33
YOR064C	-0.43	-0.22	-0.32	-0.24	-0.28	-0.04	-0.11	-0.33	-0.26	-0.17	-0.49	-0.54	-0.27	-0.18	-0.4	-0.37	0.06	0.41
YOR065W	-0.49	0.01	0.67	0.24	0.03	-0.11	0	0	-0.45	-0.5	-0.18	-0.54	-0.37	-0.7	-0.15	-0.5	-0.28	-0.05
YOL149W	-0.21	0	-0.39	-0.01	-0.09	-0.04	-0.05	-0.3	-0.22	-0.47	-0.26	-0.05	0.11	-0.35	-0.16	-0.24	-0.12	-0.37
YOR066W	-0.46	-0.07	0.18	-0.59	-1.18	-0.98	-1.43	-0.75	-0.01	1.16	0.88	0.18	-0.44	-0.63	-0.94	-1	-0.2	0.46
YOR067C	-0.22	-0.72	-0.29	-0.2	0.01	-0.02	0.09	-0.39	-0.23	-0.49	-0.14	-0.4	-0.12	-0.48	0.13	-0.36	-0.06	-0.19
YOR068C	0.07	-0.12	-0.09	0.02	-0.12	0.12	-0.03	0.1	-0.13	-0.14	-0.08	-0.13	-0.2	-0.17	-0.3	-0.11	0.24	-0.24
YER0561C	0.18	0.12	0.49	0	0.08	0.39	0.1	0.27	0.46	0.14	0.89	0.33	0.28	0.62	0.61	0.16	0.54	-0.17
YOR069W	0.08	-0.21	0.1	0.18	0.34	0.41	0.1	0.06	-0.12	0.08	0.11	-0.1	-0.17	-0.31	0.07	0.04	0.12	0.44
YOR070C	-0.42	-0.31	-0.74	-0.39	-0.38	-0.1	-0.13	-0.31	-0.22	-0.21	-0.54	-0.2	-0.19	-0.63	-0.52	-0.13	-0.24	-0.06
YOL148C	-0.28	-0.08	-0.37	-0.06	-0.32	-0.05	-0.23	-0.18	-0.19	0.06	-0.22	-0.05	-0.25	0.04	-0.31	-0.12	-0.24	-0.13
YOR071C	0	-0.28	-0.15	-0.03	-0.2	-0.27	-0.21	-0.29	-0.23	-0.52	-0.18	-0.53	-0.17	-0.11	-0.21	-0.23	-0.61	-0.38
YOR072W	-0.49	0.06	-0.08	-0.57	-0.5	-0.02	-0.3	-0.29	-0.48	-0.1	-0.46	0.02	-0.22	-1.23	-1.41	-0.38	-0.04	-0.49
YOR073W	-0.57	-0.37	-0.32	0.48	0.33	0.62	0.45	0.4	-0.03	-0.51	-0.22	-0.1	0.09	-0.04	0.51	0.49	0.01	-0.13
YOR074C	-1.6	-0.38	0.45	0.82	0.91	0.47	0.14	-0.84	-1.03	-0.59	-0.48	0.84	0.49	-0.03	-0.71	-0.39	-0.76	-0.89
YOR075W	0.78	0.52	0.79	1.01	0.86	0.81	0.62	0.7	0.35	0.07	0.67	0.45	0.26	0.34	0.54	0.58	0.18	0.35
YOR076C	-0.53	-0.76	-1.11	-0.66	-0.02	-0.12	-0.15	-0.47	-0.23	-0.62	-0.4	0.01	0.07	-0.93	-1.71	-0.22	-0.77	-0.45
YOR077W	-0.01	-0.42	0.09	-0.23	0.01	-0.07	-0.19	0.17	0.1	0	0.04	-0.05	-0.22	-0.42	-0.06	0.1	-0.2	-0.16
YER0871C	0.05	0.69	0.18	0.28	0.46	0.38	0.57	0.58	0.27	0.1	0.13	0.06	0.51	0.25	0.65	0.14	0.54	0
YOR078W	-0.25	-0.24	-0.94	-0.35	-0.64	0	-0.21	-0.05	-0.31	-0.36	-0.65	-0.39	-0.11	-0.58	-0.74	-0.28	-0.12	-0.14
YOR079C	0.57	0.08	0.24	0.24	0.36	0.55	0.37	0.36	0.21	-0.22	0.12	-0.17	0.04	0.21	0.37	0.29	0.03	-0.28
YOR080W	0.12	-1.04	-0.18	-0.17	-0.07	-0.12	-0.01	0.16	0.03	-0.23	-0.34	-0.05	-0.07	-0.34	0	0.02	-0.33	-0.08
YOR081C	0.08	-0.15	-0.29	-0.07	0.02	-0.13	-0.11	-0.41	-0.32	-0.59	0.06	-0.17	-0.11	-0.21	0.4	0.16	-0.59	-0.7
YOR082C	-0.5	-0.53	-0.29	-0.06	-0.06	0.13	0.04	-0.04	-0.49	-0.33	-0.51	-0.25	-0.18	-0.18	-0.18	-0.26	-0.07	0.29
YOL147C	-0.2	0.26	-0.06	0.57	0.43	0.06	0.29	-0.28	-0.09	-0.47	-0.14	0.07	0.48	-0.17	0	-0.2	-0.14	-0.48
YOR083W	-1.15	-1.27	-0.53	-0.06	0.2	0.37	0.01	-0.42	-0.67	-0.57	-0.39	-0.32	-0.27	-0.27	0.16	0.09	0.07	0.2
YOR084W	-0.93	-1.31	-0.27	-0.24	0.1	-0.18	-0.04	-0.64	-0.69	-0.91	-0.49	-0.39	0.02	-0.09	-0.12	-0.42	-0.18	-0.4
YOR085W	-0.26	-0.59	-0.01	0.02	0.12	0.32	0.4	-0.13	0	-0.25	0.13	-0.39	0	-0.19	0.34	-0.19	0.21	-0.28
YOR086C	-0.2	-0.14	0.06	0.09	0.04	0	-0.09	-0.39	-0.31	-0.31	-0.25	-0.1	-0.04	-0.12	-0.11	-0.04	-0.1	-0.03
YFL-TYA	1.39	1.18	1.34	1.36	0.81	1.24	0.7	1.09	0.9	1.14	0.93	1.21	0.49	1.12	0.92	1.25	0.55	0.93
YOL146W	-0.62	-0.3	-0.58	-0.25	-0.44	-0.08	-0.3	-0.58	-0.3	-0.2	-0.28	-0.06	-0.13	0.07	-0.2	-0.24	-0.18	-0.58
YOR087W	-0.13	-0.28	0.1	-0.14	-0.1	0.23	0.15	0.1	-0.14	-0.12	-0.09	-0.26	-0.32	-0.39	0.11	-0.06	0.13	0.21
YOR088W	-0.23	0	-0.01	-0.39	-0.28	-0.18	0.11	-0.17	-0.1	-0.14	-0.2	-0.24	-0.08	-0.27	-0.02	-0.26	0.07	0.16
YOR089C	0.18	-0.06	0.05	0.08	-0.26	0.52	0.06	0.11	-0.02	-0.13	-0.06	-0.25	-0.2	-0.28	0.21	-0.05	0.34	0.29
YOR090C	-0.1	0.04	-0.02	-0.23	-0.08	-0.29	-0.1	-0.27	-0.28	-0.04	-0.32	-0.21	-0.12	-0.2	-0.07	-0.07	0.11	0.05
YOR091W	-0.17	-0.91	-0.57	-0.08	-0.09	0.46	0.1	0.36	0.1	0.16	0.02	-0.06	-0.21	-0.09	-0.01	-0.06	0.42	0.33
YOR092W	0.08	0.15	0.34	0.03	0.3	-0.12	0.35	-0.19	0.07	-0.07	-0.08	-0.26	0.1	0.08	0.13	-0.3	0.05	-0.02
YOL145C	-0.15	0.17	-0.64	-0.27	-0.22	-0.19	-0.11	-0.18	0.05	-0.14	0.02	-0.07	-0.07	-0.23	0.13	0.1	-0.01	-0.08
YOR093C	-0.11	0.11	0.02	0.05	0.05	0.42	0.01	0.29	0	-0.07	0.1	-0.05	-0.31	0.12	0.48	0.19	0.34	0.11
YOR094W	-0.14	-0.14	-0.91	0	-0.4	0.09	-0.11	-0.17	-0.12	-0.34	-0.36	0.43	-0.11	-1.02	-0.95	0	-0.26	-0.11
YFL-TYB	1.92	1.51	1.76	1.66	1.62	1.35	1.1	1.7	1.48	1.19	0	1.39	0.71	1.38	1.5	0	0.7	0.97
YOR095C	0.57	-0.39	-0.47	-0.35	-0.06	-0.11	-0.13	0	0.3	-0.09	0.36	-0.12	0.1	-0.08	0.25	0.02	-0.04	0.05
YOR096W	0.28	0.28	-0.33	0.21	-0.31	0.11	0.09	0.22	0.22	0.06	0.2	-0.03	0.22	-0.02	0.56	0	0.33	0.26
YOR097C	0.11	0.28	0.2	0.94	0.28	0.13	-0.07	0.23	0.19	-0.24	-0.69	-0.36	-0.1	-0.38	0.14	0.04	-0.33	-0.69
YOR098C	-0.03	0.16	-0.6	0	-0.34	-0.61	0.04	-0.2	0.27	-0.11	-0.07	0.03	0.06	0	0.15	0	-0.12	0.05
YOR099W	-0.25	-0.45	0.09	0.38	0.32	0.39	0.15	0.17	-0.06	-0.48	0.12	-0.24	0.17	-0.04	0.49	0.15	0.08	-0.64
YOR100C	-0.18	-0.67	-1.56	-0.56	-0.67	-0.23	-0.16	-0.17	-0.09	-0.41	-1.26	-0.66	-0.2	0	-0.56	-0.33	0.01	-0.37
YOR101W	0.04	-0.74	-0.99	-0.55	0.12	-0.15	-0.24	0.14	0.11	-0.23	0.09	-0.4	-0.08	0.06	0.12	0.06	0.13	-0.33
YOR102W	-0.12	0.06	-0.57	0.17	-0.13	0.33	0	0.04	-0.2	-0.55	-0.84	-0.33	0.11	0	-0.18	-0.4	0.07	-0.34
YOR103C	0.1	0	0.24	0.4	0.25	0.36	0.07	0.3	-0.02	-0.31	-0.36	-0.24	0.13	0.19	0.34	0.16	0.15	-0.44
YOR104W	0.2	-0.13	-0.55	-0.17	-0.31	0.17	0	0.28	0.16	-0.17	-0.84	-0.2	0	0	-0.12	0.02	0.34	0.14
YFL010BW	0.15	0.14	0.28	0.11	0.35	-1.18	0.22	0.24	0.12	0.29	0.13	0.06	-0.07	0.23	0.34	0.01	0.39	-0.43
YOR105W	0.64	-0.18	0.36	-0.06	0.11	0.22	0.1	0.59	0.56	-0.21	-0.68	-0.3	-0.05	-0.03	0.41	0.57	0.43	-0.17
YOR106W	0.17	-0.05	-0.04	-0.07	0.04	-0.23	-0.08	-0.07	-0.07	-0.09	-0.12	-0.14	0.01	-0.01	-0.18	-0.18	0.14	0.43
YOR107W	0.1	-0.6	-0.28	-2.03	-0.55	-1.34	-0.3	-0.34	-0.83	-0.94	0	-1	-0.77	-0.43	-0.81	-0.48	-0.41	0.78
YOR108W	0.36	-0.07	0.26	0.1	0.45	-0.09	0.29	-0.09	0.16	-0.15	-0.02	-0.04	0.22	0.22	0.35	0.14	0.25	0.19
YOR109W	0.05	-0.56	0.13	0.06	0.52	-0.19	0.04	-0.08	-0.08	-0.12	0.57	-0.06	-0.02	-0.06	0.46	-0.09	0.32	0.12
YOR110W	-0.01	-0.32	-0.01	0.11	-0.06	-0.33	0.02	-0.38	-0.17	-0.36	-0.29	-0.14	0.12	0.04	-0.12	-0.24	0.07	0.49
YOR111W	-0.06	0.09	0.81	0.69	0.5	-0.18	0.11	0.07	-0.02	0.14	0.13	0.24	0.13	-0.08	0.11	-0.04	0.05	0.37
YOL144W	-0.26	-0.66	-1.19	-0.38	-0.44	-0.16	-0.2	-0.12	-0.1	-0.12	-0.5	-0.16	-0.3	-0.11	-0.61	-0.32	-0.16	-0.01
YOR112W	-0.5	-0.53	-0.12	-0.06	0.28	-0.22	0.15	-0.26	-0.24	-0.22	-0.18	0.08	0.09	-0.22	0.23	0.07	0.02	0.28
YOR113W	-0.53	-0.24	0.04	-0.12	0.22	-0.06	-0.28	-0.06	-0.11	-0.04	0.21	0.09	-0.14	0.01	0.25	0.06	0.25	0.91
YFR031BC	0.31	-0.04	-0.06	-0.03	-0.1	-0.25	0.24	0	0.09	0	-0.1	-0.03	0.27	0.11	0.4	-0.03	0.2	0.1
YOR114W	-0.4	-0.19	0.17	0.62	0.27	0.3	-0.12	-0.09	-0.45	-0.28	-0.24	0.15	0.18	-0.09	0.15	-0.02	0.28	0.61
YOR115C	0.01	-0.31	0.24	0.32	0.23	-0.44	-0.17	-0.15	-0.13	-0.35	-0.01	-0.07	0.03	-0.36	0.14	-0.27	-0.07	0.1
YOR116C	0.21	-0.58	-0.24	-0.09	0.18	0.29	0.01	0.15	0.17	0.06	0.19	0.03	-0.08	0.11	0.13	0.19	0.28	0.22
YOR117W	0.17	-0.12	0.53	0.21	0.27	-0.33	0.08	0.32	0.3	0.09	0.4	0.06	-0.04	-0.4	0.22	-0.07	0.17	0.2
YOL143C	0.02	-0.31	-0.33	-0.3	-0.14	-0.1	0.1	-0.33	0.09	-0.35	-0.06	-0.35	0.02	-0.48	-0.16	-0.24	-0.14	-0.3
YOR118W	-0.18	-0.83	-0.87	-0.2	-0.36	-0.42	-0.12	-0.11	-0.12	-0.32	-0.41	-0.23	-0.06	-0.86	-0.39	-0.29	-0.11	-0.13
YOR119C	-0.01	-0.9	-0.63	-0.32	0.1	-0.1	-0.17	0.39	0.36	-0.27	-1.14	-0.34	0.01	-0.01	0.04	0.02	0.23	-0.29
YOR120W	0.25	0.58	0.61	0.58	-0.2	0.1	-0.1	0.03	0.02	-0.24	-0.36	-0.12	0.01	0	-0.34	-0.15	-0.58	-0.15
YOR121C	-0.02	0.7	0.38	0.14	-0.64	0.2	-0.66	0	0	-0.41	-1	0.18	-0.18	-0.29	-0.22	-0.2	0.06	-1.13
YOR122C	0.13	0.49	0.18	0.4	0.09	0.28	0.1	0.06	0	0.12	-0.02	0	0	0.19	0.04	-0.21	-0.06	-0.24
YHR039BC	0.24	0.07	0.03	0.13	-0.11	-0.27	0.09	-0.16	0.14	0.03	-0.03	0.09	-0.23	-0.22	-0.01	0.03	-0.55	0.19
YOR123C	0	0.89	-0.65	-0.29	-0.1	-0.3	-0.04	-0.23	0.1	-0.06	-0.01	-0.06	0.12	0	-0.29	0.01	-0.19	-0.26
YOR124C	-0.02	-0.05	0.23	0.24	0.08	0.01	0	-0.21	0.09	0.03	0.12	0.17	-0.15	-0.06	0.02	-0.06	-0.05	-0.01
YOL142W	-0.05	-0.69	-1.08	-0.51	-0.46	-0.05	0	-0.21	-0.05	-0.19	-0.38	-0.27	-0.1	-0.12	-0.23	-0.38	-0.14	-0.12
